序号,简体,繁体,异体,日文
1076,迁,遷,迁,遷
1077,乔,喬,乔,喬
1078,伟,偉,伟,偉
1079,传,傳,传,伝
1080,乒,乒,㕘,乒
1081,乓,乓,㕘,乓
1082,休,休,㕘,休
1083,伍,伍,㕘,伍
1084,伏,伏,㕘,伏
1085,优,優,优,優
1086,伐,伐,㕘,伐
1087,延,延,㕘,延
1088,仲,仲,㕘,仲
1089,件,件,㕘,件
1090,任,任,㕘,任
1091,伤,傷,伤,傷
1092,价,價,价,価
1093,伦,倫,伦,倫
1094,份,份,㕘,份
1095,仰,仰,㕘,仰
1096,仿,仿,㕘,仿
1097,伙,夥,伙,伙
1098,伪,偽,伪,偽
1099,伊,伊,㕘,伊
1100,似,似,㕘,似
1101,血,血,㕘,血
1102,向,向,㕘,向
1103,行,行,㕘,行
1104,后,後,后,後
1105,舟,舟,㕘,舟
1106,全,全,㕘,全
1107,会,會,会,会
1108,杀,殺,杀,殺
1109,合,合,㕘,合
1110,兆,兆,㕘,兆
1111,企,企,㕘,企
1112,众,眾,众,衆
1113,爷,爺,爷,爺
1114,伞,傘,伞,傘
1115,创,創,创,創
1116,肌,肌,㕘,肌
1117,肋,肋,㕘,肋
1118,朵,朵,㕘,朵
1119,杂,雜,杂,雑
1120,危,危,㕘,危
1121,负,負,负,負
1122,争,爭,争,争
1123,色,色,㕘,色
1124,壮,壯,壮,壮
1125,冲,衝,冲,衝
1126,冰,冰,㕘,氷
1127,庄,莊,庄,荘
1128,庆,慶,庆,慶
1129,亦,亦,㕘,亦
1130,刘,劉,刘,劉
1131,齐,齊,齐,斉
1132,交,交,㕘,交
1133,次,次,㕘,次
1134,衣,衣,㕘,衣
1135,产,產,产,産
1136,决,決,决,決
1137,充,充,㕘,充
1138,妄,妄,㕘,妄
1139,闭,閉,闭,閉
1140,问,問,问,問
1141,闯,闖,闯,闖
1142,并,並,并,並
1143,关,關,关,関
1144,米,米,㕘,米
1145,灯,燈,灯,灯
1146,州,州,洲,州
1147,汗,汗,㕘,汗
1148,污,污,汙,污
1149,江,江,㕘,江
1150,池,池,㕘,池
1151,汤,湯,汤,湯
1152,忙,忙,㕘,忙
1153,兴,興,兴,興
1154,宇,宇,㕘,宇
1155,守,守,㕘,守
1156,宅,宅,㕘,宅
1157,字,字,㕘,字
1158,安,安,㕘,安
1159,讲,講,讲,講
1160,讳,諱,讳,諱
1161,军,軍,军,軍
1162,讶,訝,讶,訝
1163,许,許,许,許
1164,论,論,论,論
1165,讼,訟,讼,訟
1166,农,農,农,農
1167,讽,諷,讽,諷
1168,设,設,设,設
1169,访,訪,访,訪
1170,寻,尋,寻,尋
1171,导,導,导,導
1172,异,異,异,異
1173,孙,孫,孙,孫
1174,阵,陣,阵,陣
1175,阳,陽,阳,陽
1176,收,收,㕘,収
1177,阶,階,阶,階
1178,阴,陰,阴,陰
1179,防,防,㕘,防
1180,奸,奸,㕘,奸
1181,如,如,㕘,如
1182,妇,婦,妇,婦
1183,好,好,㕘,好
1184,她,她,㕘,她
1185,妈,媽,妈,媽
1186,戏,戲,戏,戯
1187,羽,羽,㕘,羽
1188,观,觀,观,観
1189,欢,歡,欢,歓
1190,买,買,买,買
1191,红,紅,红,紅
1192,约,約,约,約
1193,级,級,级,級
1194,纪,紀,纪,紀
1195,驰,馳,驰,馳
1196,巡,巡,㕘,巡
1197,寿,壽,寿,寿
1198,弄,弄,㕘,弄
1199,麦,麥,麦,麦
1200,形,形,㕘,形
1201,进,進,进,進
1202,戒,戒,㕘,戒
1203,吞,吞,㕘,吞
1204,远,遠,远,遠
1205,违,違,违,違
1206,划,劃,划,劃
1207,迈,邁,迈,邁
1208,毕,畢,毕,畢
1209,至,至,㕘,至
1210,此,此,㕘,此
1211,贞,貞,贞,貞
1212,师,師,师,師
1213,尘,塵,尘,塵
1214,尖,尖,㕘,尖
1215,劣,劣,㕘,劣
1216,光,光,㕘,光
1217,当,當,当,当
1218,早,早,㕘,早
1219,吐,吐,㕘,吐
1220,吓,嚇,吓,嚇
1221,虫,蟲,虫,虫
1222,曲,曲,㕘,曲
1223,团,團,团,団
1224,同,同,㕘,同
1225,吕,呂,吕,呂
1226,吊,吊,㕘,吊
1227,吃,吃,㕘,吃
1228,因,因,㕘,因
1229,吸,吸,㕘,吸
1230,吗,嗎,吗,嗎
1231,屿,嶼,屿,嶼
1232,帆,帆,㕘,帆
1233,岁,歲,岁,歳
1234,回,回,㕘,回
1235,岂,豈,岂,豈
1236,则,則,则,則
1237,刚,剛,刚,剛
1238,网,網,网,網
1239,肉,肉,㕘,肉
1240,年,年,㕘,年
1241,朱,朱,㕘,朱
1242,先,先,㕘,先
1243,丢,丟,丢,丟
1244,舌,舌,㕘,舌
1245,竹,竹,㕘,竹
1246,迁,遷,迁,遷
1247,乔,喬,乔,喬
1248,伟,偉,伟,偉
1249,传,傳,传,伝
1250,乒,乒,㕘,乒
1251,乓,乓,㕘,乓
1252,休,休,㕘,休
1253,伍,伍,㕘,伍
1254,伏,伏,㕘,伏
1255,优,優,优,優
1256,伐,伐,㕘,伐
1257,延,延,㕘,延
1258,仲,仲,㕘,仲
1259,件,件,㕘,件
1260,任,任,㕘,任
1261,伤,傷,伤,傷
1262,价,價,价,価
1263,伦,倫,伦,倫
1264,份,份,㕘,份
1265,仰,仰,㕘,仰
1266,仿,仿,㕘,仿
1267,伙,夥,伙,伙
1268,伪,偽,伪,偽
1269,伊,伊,㕘,伊
1270,似,似,㕘,似
1271,血,血,㕘,血
1272,向,向,㕘,向
1273,行,行,㕘,行
1274,后,後,后,後
1275,舟,舟,㕘,舟
1276,全,全,㕘,全
1277,会,會,会,会
1278,杀,殺,杀,殺
1279,合,合,㕘,合
1280,兆,兆,㕘,兆
1281,企,企,㕘,企
1282,众,眾,众,衆
1283,爷,爺,爷,爺
1284,伞,傘,伞,傘
1285,创,創,创,創
1286,肌,肌,㕘,肌
1287,肋,肋,㕘,肋
1288,朵,朵,㕘,朵
1289,杂,雜,杂,雑
1290,危,危,㕘,危
1291,负,負,负,負
1292,争,爭,争,争
1293,色,色,㕘,色
1294,壮,壯,壮,壮
1295,冲,衝,冲,衝
1296,冰,冰,㕘,氷
1297,庄,莊,庄,荘
1298,庆,慶,庆,慶
1299,亦,亦,㕘,亦
1300,刘,劉,刘,劉
1301,齐,齊,齐,斉
1302,交,交,㕘,交
1303,次,次,㕘,次
1304,衣,衣,㕘,衣
1305,产,產,产,産
1306,决,決,决,決
1307,充,充,㕘,充
1308,妄,妄,㕘,妄
1309,闭,閉,闭,閉
1310,问,問,问,問
1311,闯,闖,闯,闖
1312,并,並,并,並
1313,关,關,关,関
1314,米,米,㕘,米
1315,灯,燈,灯,灯
1316,州,州,洲,州
1317,汗,汗,㕘,汗
1318,污,污,汙,污
1319,江,江,㕘,江
1320,池,池,㕘,池
1321,汤,湯,汤,湯
1322,忙,忙,㕘,忙
1323,兴,興,兴,興
1324,宇,宇,㕘,宇
1325,守,守,㕘,守
1326,宅,宅,㕘,宅
1327,字,字,㕘,字
1328,安,安,㕘,安
1329,讲,講,讲,講
1330,讳,諱,讳,諱
1331,军,軍,军,軍
1332,讶,訝,讶,訝
1333,许,許,许,許
1334,论,論,论,論
1335,讼,訟,讼,訟
1336,农,農,农,農
1337,讽,諷,讽,諷
1338,设,設,设,設
1339,访,訪,访,訪
1340,寻,尋,寻,尋
1341,导,導,导,導
1342,异,異,异,異
1343,孙,孫,孙,孫
1344,阵,陣,阵,陣
1345,阳,陽,阳,陽
1346,收,收,㕘,収
1347,阶,階,阶,階
1348,阴,陰,阴,陰
1349,防,防,㕘,防
1350,奸,奸,㕘,奸
1351,如,如,㕘,如
1352,妇,婦,妇,婦
1353,好,好,㕘,好
1354,她,她,㕘,她
1355,妈,媽,妈,媽
1356,戏,戲,戏,戯
1357,羽,羽,㕘,羽
1358,观,觀,观,観
1359,欢,歡,欢,歓
1360,买,買,买,買
1361,红,紅,红,紅
1362,约,約,约,約
1363,级,級,级,級
1364,纪,紀,纪,紀
1365,驰,馳,驰,馳
1366,巡,巡,㕘,巡
1367,寿,壽,寿,寿
1368,弄,弄,㕘,弄
1369,麦,麥,麦,麦
1370,形,形,㕘,形
1371,进,進,进,進
1372,戒,戒,㕘,戒
1373,吞,吞,㕘,吞
1374,远,遠,远,遠
1375,违,違,违,違
1376,划,劃,划,劃
1377,迈,邁,迈,邁
1378,毕,畢,毕,畢
1379,至,至,㕘,至
1380,此,此,㕘,此
1381,贞,貞,贞,貞
1382,师,師,师,師
1383,尘,塵,尘,塵
1384,尖,尖,㕘,尖
1385,劣,劣,㕘,劣
1386,光,光,㕘,光
1387,当,當,当,当
1388,早,早,㕘,早
1389,吐,吐,㕘,吐
1390,吓,嚇,吓,嚇
1391,虫,蟲,虫,虫
1392,曲,曲,㕘,曲
1393,团,團,团,団
1394,同,同,㕘,同
1395,吕,呂,吕,呂
1396,吊,吊,㕘,吊
1397,吃,吃,㕘,吃
1398,因,因,㕘,因
1399,吸,吸,㕘,吸
1400,吗,嗎,吗,嗎
1401,屿,嶼,屿,嶼
1402,帆,帆,㕘,帆
1403,岁,歲,岁,歳
1404,回,回,㕘,回
1405,岂,豈,岂,豈
1406,则,則,则,則
1407,刚,剛,刚,剛
1408,网,網,网,網
1409,肉,肉,㕘,肉
1410,年,年,㕘,年
1411,朱,朱,㕘,朱
1412,先,先,㕘,先
1413,丢,丟,丢,丟
1414,舌,舌,㕘,舌
1415,竹,竹,㕘,竹
1416,迁,遷,迁,遷
1417,乔,喬,乔,喬
1418,伟,偉,伟,偉
1419,传,傳,传,伝
1420,乒,乒,㕘,乒
1421,乓,乓,㕘,乓
1422,休,休,㕘,休
1423,伍,伍,㕘,伍
1424,伏,伏,㕘,伏
1425,优,優,优,優
1426,伐,伐,㕘,伐
1427,延,延,㕘,延
1428,仲,仲,㕘,仲
1429,件,件,㕘,件
1430,任,任,㕘,任
1431,伤,傷,伤,傷
1432,价,價,价,価
1433,伦,倫,伦,倫
1434,份,份,㕘,份
1435,仰,仰,㕘,仰
1436,仿,仿,㕘,仿
1437,伙,夥,伙,伙
1438,伪,偽,伪,偽
1439,伊,伊,㕘,伊
1440,似,似,㕘,似
1441,血,血,㕘,血
1442,向,向,㕘,向
1443,行,行,㕘,行
1444,后,後,后,後
1445,舟,舟,㕘,舟
1446,全,全,㕘,全
1447,会,會,会,会
1448,杀,殺,杀,殺
1449,合,合,㕘,合
1450,兆,兆,㕘,兆
1451,企,企,㕘,企
1452,众,眾,众,衆
1453,爷,爺,爷,爺
1454,伞,傘,伞,傘
1455,创,創,创,創
1456,肌,肌,㕘,肌
1457,肋,肋,㕘,肋
1458,朵,朵,㕘,朵
1459,杂,雜,杂,雑
1460,危,危,㕘,危
1461,负,負,负,負
1462,争,爭,争,争
1463,色,色,㕘,色
1464,壮,壯,壮,壮
1465,冲,衝,冲,衝
1466,冰,冰,㕘,氷
1467,庄,莊,庄,荘
1468,庆,慶,庆,慶
1469,亦,亦,㕘,亦
1470,刘,劉,刘,劉
1471,齐,齊,齐,斉
1472,交,交,㕘,交
1473,次,次,㕘,次
1474,衣,衣,㕘,衣
1475,产,產,产,産
1476,决,決,决,決
1477,充,充,㕘,充
1478,妄,妄,㕘,妄
1479,闭,閉,闭,閉
1480,问,問,问,問
1481,闯,闖,闯,闖
1482,并,並,并,並
1483,关,關,关,関
1484,米,米,㕘,米
1485,灯,燈,灯,灯
1486,州,州,洲,州
1487,汗,汗,㕘,汗
1488,污,污,汙,污
1489,江,江,㕘,江
1490,池,池,㕘,池
1491,汤,湯,汤,湯
1492,忙,忙,㕘,忙
1493,兴,興,兴,興
1494,宇,宇,㕘,宇
1495,守,守,㕘,守
1496,宅,宅,㕘,宅
1497,字,字,㕘,字
1498,安,安,㕘,安
1499,讲,講,讲,講
1500,讳,諱,讳,諱
1501,军,軍,军,軍
1502,讶,訝,讶,訝
1503,许,許,许,許
1504,论,論,论,論
1505,讼,訟,讼,訟
1506,农,農,农,農
1507,讽,諷,讽,諷
1508,设,設,设,設
1509,访,訪,访,訪
1510,寻,尋,寻,尋
1511,导,導,导,導
1512,异,異,异,異
1513,孙,孫,孙,孫
1514,阵,陣,阵,陣
1515,阳,陽,阳,陽
1516,收,收,㕘,収
1517,阶,階,阶,階
1518,阴,陰,阴,陰
1519,防,防,㕘,防
1520,奸,奸,㕘,奸
1521,如,如,㕘,如
1522,妇,婦,妇,婦
1523,好,好,㕘,好
1524,她,她,㕘,她
1525,妈,媽,妈,媽
1526,戏,戲,戏,戯
1527,羽,羽,㕘,羽
1528,观,觀,观,観
1529,欢,歡,欢,歓
1530,买,買,买,買
1531,红,紅,红,紅
1532,约,約,约,約
1533,级,級,级,級
1534,纪,紀,纪,紀
1535,驰,馳,驰,馳
1536,巡,巡,㕘,巡
1537,寿,壽,寿,寿
1538,弄,弄,㕘,弄
1539,麦,麥,麦,麦
1540,形,形,㕘,形
1541,进,進,进,進
1542,戒,戒,㕘,戒
1543,吞,吞,㕘,吞
1544,远,遠,远,遠
1545,违,違,违,違
1546,划,劃,划,劃
1547,迈,邁,迈,邁
1548,毕,畢,毕,畢
1549,至,至,㕘,至
1550,此,此,㕘,此
1551,贞,貞,贞,貞
1552,师,師,师,師
1553,尘,塵,尘,塵
1554,尖,尖,㕘,尖
1555,劣,劣,㕘,劣
1556,光,光,㕘,光
1557,当,當,当,当
1558,早,早,㕘,早
1559,吐,吐,㕘,吐
1560,吓,嚇,吓,嚇
1561,虫,蟲,虫,虫
1562,曲,曲,㕘,曲
1563,团,團,团,団
1564,同,同,㕘,同
1565,吕,呂,吕,呂
1566,吊,吊,㕘,吊
1567,吃,吃,㕘,吃
1568,因,因,㕘,因
1569,吸,吸,㕘,吸
1570,吗,嗎,吗,嗎
1571,屿,嶼,屿,嶼
1572,帆,帆,㕘,帆
1573,岁,歲,岁,歳
1574,回,回,㕘,回
1575,岂,豈,岂,豈
1576,则,則,则,則
1577,刚,剛,刚,剛
1578,网,網,网,網
1579,肉,肉,㕘,肉
1580,年,年,㕘,年
1581,朱,朱,㕘,朱
1582,先,先,㕘,先
1583,丢,丟,丢,丟
1584,舌,舌,㕘,舌
1585,竹,竹,㕘,竹
1586,迁,遷,迁,遷
1587,乔,喬,乔,喬
1588,伟,偉,伟,偉
1589,传,傳,传,伝
1590,乒,乒,㕘,乒
1591,乓,乓,㕘,乓
1592,休,休,㕘,休
1593,伍,伍,㕘,伍
1594,伏,伏,㕘,伏
1595,优,優,优,優
1596,伐,伐,㕘,伐
1597,延,延,㕘,延
1598,仲,仲,㕘,仲
1599,件,件,㕘,件
1600,任,任,㕘,任
1601,伤,傷,伤,傷
1602,价,價,价,価
1603,伦,倫,伦,倫
1604,份,份,㕘,份
1605,仰,仰,㕘,仰
1606,仿,仿,㕘,仿
1607,伙,夥,伙,伙
1608,伪,偽,伪,偽
1609,伊,伊,㕘,伊
1610,似,似,㕘,似
1611,血,血,㕘,血
1612,向,向,㕘,向
1613,行,行,㕘,行
1614,后,後,后,後
1615,舟,舟,㕘,舟
1616,全,全,㕘,全
1617,会,會,会,会
1618,杀,殺,杀,殺
1619,合,合,㕘,合
1620,兆,兆,㕘,兆
1621,企,企,㕘,企
1622,众,眾,众,衆
1623,爷,爺,爷,爺
1624,伞,傘,伞,傘
1625,创,創,创,創
1626,肌,肌,㕘,肌
1627,肋,肋,㕘,肋
1628,朵,朵,㕘,朵
1629,杂,雜,杂,雑
1630,危,危,㕘,危
1631,负,負,负,負
1632,争,爭,争,争
1633,色,色,㕘,色
1634,壮,壯,壮,壮
1635,冲,衝,冲,衝
1636,冰,冰,㕘,氷
1637,庄,莊,庄,荘
1638,庆,慶,庆,慶
1639,亦,亦,㕘,亦
1640,刘,劉,刘,劉
1641,齐,齊,齐,斉
1642,交,交,㕘,交
1643,次,次,㕘,次
1644,衣,衣,㕘,衣
1645,产,產,产,産
1646,决,決,决,決
1647,充,充,㕘,充
1648,妄,妄,㕘,妄
1649,闭,閉,闭,閉
1650,问,問,问,問
1651,闯,闖,闯,闖
1652,并,並,并,並
1653,关,關,关,関
1654,米,米,㕘,米
1655,灯,燈,灯,灯
1656,州,州,洲,州
1657,汗,汗,㕘,汗
1658,污,污,汙,污
1659,江,江,㕘,江
1660,池,池,㕘,池
1661,汤,湯,汤,湯
1662,忙,忙,㕘,忙
1663,兴,興,兴,興
1664,宇,宇,㕘,宇
1665,守,守,㕘,守
1666,宅,宅,㕘,宅
1667,字,字,㕘,字
1668,安,安,㕘,安
1669,讲,講,讲,講
1670,讳,諱,讳,諱
1671,军,軍,军,軍
1672,讶,訝,讶,訝
1673,许,許,许,許
1674,论,論,论,論
1675,讼,訟,讼,訟
1676,农,農,农,農
1677,讽,諷,讽,諷
1678,设,設,设,設
1679,访,訪,访,訪
1680,寻,尋,寻,尋
1681,导,導,导,導
1682,异,異,异,異
1683,孙,孫,孙,孫
1684,阵,陣,阵,陣
1685,阳,陽,阳,陽
1686,收,收,㕘,収
1687,阶,階,阶,階
1688,阴,陰,阴,陰
1689,防,防,㕘,防
1690,奸,奸,㕘,奸
1691,如,如,㕘,如
1692,妇,婦,妇,婦
1693,好,好,㕘,好
1694,她,她,㕘,她
1695,妈,媽,妈,媽
1696,戏,戲,戏,戯
1697,羽,羽,㕘,羽
1698,观,觀,观,観
1699,欢,歡,欢,歓
1700,买,買,买,買
1701,红,紅,红,紅
1702,约,約,约,約
1703,级,級,级,級
1704,纪,紀,纪,紀
1705,驰,馳,驰,馳
1706,巡,巡,㕘,巡
1707,寿,壽,寿,寿
1708,弄,弄,㕘,弄
1709,麦,麥,麦,麦
1710,形,形,㕘,形
1711,进,進,进,進
1712,戒,戒,㕘,戒
1713,吞,吞,㕘,吞
1714,远,遠,远,遠
1715,违,違,违,違
1716,划,劃,划,劃
1717,迈,邁,迈,邁
1718,毕,畢,毕,畢
1719,至,至,㕘,至
1720,此,此,㕘,此
1721,贞,貞,贞,貞
1722,师,師,师,師
1723,尘,塵,尘,塵
1724,尖,尖,㕘,尖
1725,劣,劣,㕘,劣
1726,光,光,㕘,光
1727,当,當,当,当
1728,早,早,㕘,早
1729,吐,吐,㕘,吐
1730,吓,嚇,吓,嚇
1731,虫,蟲,虫,虫
1732,曲,曲,㕘,曲
1733,团,團,团,団
1734,同,同,㕘,同
1735,吕,呂,吕,呂
1736,吊,吊,㕘,吊
1737,吃,吃,㕘,吃
1738,因,因,㕘,因
1739,吸,吸,㕘,吸
1740,吗,嗎,吗,嗎
1741,屿,嶼,屿,嶼
1742,帆,帆,㕘,帆
1743,岁,歲,岁,歳
1744,回,回,㕘,回
1745,岂,豈,岂,豈
1746,则,則,则,則
1747,刚,剛,刚,剛
1748,网,網,网,網
1749,肉,肉,㕘,肉
1750,年,年,㕘,年
1751,朱,朱,㕘,朱
1752,先,先,㕘,先
1753,丢,丟,丢,丟
1754,舌,舌,㕘,舌
1755,竹,竹,㕘,竹
1756,迁,遷,迁,遷
1757,乔,喬,乔,喬
1758,伟,偉,伟,偉
1759,传,傳,传,伝
1760,乒,乒,㕘,乒
1761,乓,乓,㕘,乓
1762,休,休,㕘,休
1763,伍,伍,㕘,伍
1764,伏,伏,㕘,伏
1765,优,優,优,優
1766,伐,伐,㕘,伐
1767,延,延,㕘,延
1768,仲,仲,㕘,仲
1769,件,件,㕘,件
1770,任,任,㕘,任
1771,伤,傷,伤,傷
1772,价,價,价,価
1773,伦,倫,伦,倫
1774,份,份,㕘,份
1775,仰,仰,㕘,仰
1776,仿,仿,㕘,仿
1777,伙,夥,伙,伙
1778,伪,偽,伪,偽
1779,伊,伊,㕘,伊
1780,似,似,㕘,似
1781,血,血,㕘,血
1782,向,向,㕘,向
1783,行,行,㕘,行
1784,后,後,后,後
1785,舟,舟,㕘,舟
1786,全,全,㕘,全
1787,会,會,会,会
1788,杀,殺,杀,殺
1789,合,合,㕘,合
1790,兆,兆,㕘,兆
1791,企,企,㕘,企
1792,众,眾,众,衆
1793,爷,爺,爷,爺
1794,伞,傘,伞,傘
1795,创,創,创,創
1796,肌,肌,㕘,肌
1797,肋,肋,㕘,肋
1798,朵,朵,㕘,朵
1799,杂,雜,杂,雑
1800,危,危,㕘,危
1801,负,負,负,負
1802,争,爭,争,争
1803,色,色,㕘,色
1804,壮,壯,壮,壮
1805,冲,衝,冲,衝
1806,冰,冰,㕘,氷
1807,庄,莊,庄,荘
1808,庆,慶,庆,慶
1809,亦,亦,㕘,亦
1810,刘,劉,刘,劉
1811,齐,齊,齐,斉
1812,交,交,㕘,交
1813,次,次,㕘,次
1814,衣,衣,㕘,衣
1815,产,產,产,産
1816,决,決,决,決
1817,充,充,㕘,充
1818,妄,妄,㕘,妄
1819,闭,閉,闭,閉
1820,问,問,问,問
1821,闯,闖,闯,闖
1822,并,並,并,並
1823,关,關,关,関
1824,米,米,㕘,米
1825,灯,燈,灯,灯
1826,州,州,洲,州
1827,汗,汗,㕘,汗
1828,污,污,汙,污
1829,江,江,㕘,江
1830,池,池,㕘,池
1831,汤,湯,汤,湯
1832,忙,忙,㕘,忙
1833,兴,興,兴,興
1834,宇,宇,㕘,宇
1835,守,守,㕘,守
1836,宅,宅,㕘,宅
1837,字,字,㕘,字
1838,安,安,㕘,安
1839,讲,講,讲,講
1840,讳,諱,讳,諱
1841,军,軍,军,軍
1842,讶,訝,讶,訝
1843,许,許,许,許
1844,论,論,论,論
1845,讼,訟,讼,訟
1846,农,農,农,農
1847,讽,諷,讽,諷
1848,设,設,设,設
1849,访,訪,访,訪
1850,寻,尋,寻,尋
1851,导,導,导,導
1852,异,異,异,異
1853,孙,孫,孙,孫
1854,阵,陣,阵,陣
1855,阳,陽,阳,陽
1856,收,收,㕘,収
1857,阶,階,阶,階
1858,阴,陰,阴,陰
1859,防,防,㕘,防
1860,奸,奸,㕘,奸
1861,如,如,㕘,如
1862,妇,婦,妇,婦
1863,好,好,㕘,好
1864,她,她,㕘,她
1865,妈,媽,妈,媽
1866,戏,戲,戏,戯
1867,羽,羽,㕘,羽
1868,观,觀,观,観
1869,欢,歡,欢,歓
1870,买,買,买,買
1871,红,紅,红,紅
1872,约,約,约,約
1873,级,級,级,級
1874,纪,紀,纪,紀
1875,驰,馳,驰,馳
1876,巡,巡,㕘,巡
1877,寿,壽,寿,寿
1878,弄,弄,㕘,弄
1879,麦,麥,麦,麦
1880,形,形,㕘,形
1881,进,進,进,進
1882,戒,戒,㕘,戒
1883,吞,吞,㕘,吞
1884,远,遠,远,遠
1885,违,違,违,違
1886,划,劃,划,劃
1887,迈,邁,迈,邁
1888,毕,畢,毕,畢
1889,至,至,㕘,至
1890,此,此,㕘,此
1891,贞,貞,贞,貞
1892,师,師,师,師
1893,尘,塵,尘,塵
1894,尖,尖,㕘,尖
1895,劣,劣,㕘,劣
1896,光,光,㕘,光
1897,当,當,当,当
1898,早,早,㕘,早
1899,吐,吐,㕘,吐
1900,吓,嚇,吓,嚇
1901,虫,蟲,虫,虫
1902,曲,曲,㕘,曲
1903,团,團,团,団
1904,同,同,㕘,同
1905,吕,呂,吕,呂
1906,吊,吊,㕘,吊
1907,吃,吃,㕘,吃
1908,因,因,㕘,因
1909,吸,吸,㕘,吸
1910,吗,嗎,吗,嗎
1911,屿,嶼,屿,嶼
1912,帆,帆,㕘,帆
1913,岁,歲,岁,歳
1914,回,回,㕘,回
1915,岂,豈,岂,豈
1916,则,則,则,則
1917,刚,剛,刚,剛
1918,网,網,网,網
1919,肉,肉,㕘,肉
1920,年,年,㕘,年
1921,朱,朱,㕘,朱
1922,先,先,㕘,先
1923,丢,丟,丢,丟
1924,舌,舌,㕘,舌
1925,竹,竹,㕘,竹
1926,迁,遷,迁,遷
1927,乔,喬,乔,喬
1928,伟,偉,伟,偉
1929,传,傳,传,伝
1930,乒,乒,㕘,乒
1931,乓,乓,㕘,乓
1932,休,休,㕘,休
1933,伍,伍,㕘,伍
1934,伏,伏,㕘,伏
1935,优,優,优,優
1936,伐,伐,㕘,伐
1937,延,延,㕘,延
1938,仲,仲,㕘,仲
1939,件,件,㕘,件
1940,任,任,㕘,任
1941,伤,傷,伤,傷
1942,价,價,价,価
1943,伦,倫,伦,倫
1944,份,份,㕘,份
1945,仰,仰,㕘,仰
1946,仿,仿,㕘,仿
1947,伙,夥,伙,伙
1948,伪,偽,伪,偽
1949,伊,伊,㕘,伊
1950,似,似,㕘,似
1951,血,血,㕘,血
1952,向,向,㕘,向
1953,行,行,㕘,行
1954,后,後,后,後
1955,舟,舟,㕘,舟
1956,全,全,㕘,全
1957,会,會,会,会
1958,杀,殺,杀,殺
1959,合,合,㕘,合
1960,兆,兆,㕘,兆
1961,企,企,㕘,企
1962,众,眾,众,衆
1963,爷,爺,爷,爺
1964,伞,傘,伞,傘
1965,创,創,创,創
1966,肌,肌,㕘,肌
1967,肋,肋,㕘,肋
1968,朵,朵,㕘,朵
1969,杂,雜,杂,雑
1970,危,危,㕘,危
1971,负,負,负,負
1972,争,爭,争,争
1973,色,色,㕘,色
1974,壮,壯,壮,壮
1975,冲,衝,冲,衝
1976,冰,冰,㕘,氷
1977,庄,莊,庄,荘
1978,庆,慶,庆,慶
1979,亦,亦,㕘,亦
1980,刘,劉,刘,劉
1981,齐,齊,齐,斉
1982,交,交,㕘,交
1983,次,次,㕘,次
1984,衣,衣,㕘,衣
1985,产,產,产,産
1986,决,決,决,決
1987,充,充,㕘,充
1988,妄,妄,㕘,妄
1989,闭,閉,闭,閉
1990,问,問,问,問
1991,闯,闖,闯,闖
1992,并,並,并,並
1993,关,關,关,関
1994,米,米,㕘,米
1995,灯,燈,灯,灯
1996,州,州,洲,州
1997,汗,汗,㕘,汗
1998,污,污,汙,污
1999,江,江,㕘,江
2000,池,池,㕘,池
2001,汤,湯,汤,湯
2002,忙,忙,㕘,忙
2003,兴,興,兴,興
2004,宇,宇,㕘,宇
2005,守,守,㕘,守
2006,宅,宅,㕘,宅
2007,字,字,㕘,字
2008,安,安,㕘,安
2009,讲,講,讲,講
2010,讳,諱,讳,諱
2011,军,軍,军,軍
2012,讶,訝,讶,訝
2013,许,許,许,許
2014,论,論,论,論
2015,讼,訟,讼,訟
2016,农,農,农,農
2017,讽,諷,讽,諷
2018,设,設,设,設
2019,访,訪,访,訪
2020,寻,尋,寻,尋
2021,导,導,导,導
2022,异,異,异,異
2023,孙,孫,孙,孫
2024,阵,陣,阵,陣
2025,阳,陽,阳,陽
2026,收,收,㕘,収
2027,阶,階,阶,階
2028,阴,陰,阴,陰
2029,防,防,㕘,防
2030,奸,奸,㕘,奸
2031,如,如,㕘,如
2032,妇,婦,妇,婦
2033,好,好,㕘,好
2034,她,她,㕘,她
2035,妈,媽,妈,媽
2036,戏,戲,戏,戯
2037,羽,羽,㕘,羽
2038,观,觀,观,観
2039,欢,歡,欢,歓
2040,买,買,买,買
2041,红,紅,红,紅
2042,约,約,约,約
2043,级,級,级,級
2044,纪,紀,纪,紀
2045,驰,馳,驰,馳
2046,巡,巡,㕘,巡
2047,寿,壽,寿,寿
2048,弄,弄,㕘,弄
2049,麦,麥,麦,麦
2050,形,形,㕘,形
2051,进,進,进,進
2052,戒,戒,㕘,戒
2053,吞,吞,㕘,吞
2054,远,遠,远,遠
2055,违,違,违,違
2056,划,劃,划,劃
2057,迈,邁,迈,邁
2058,毕,畢,毕,畢
2059,至,至,㕘,至
2060,此,此,㕘,此
2061,贞,貞,贞,貞
2062,师,師,师,師
2063,尘,塵,尘,塵
2064,尖,尖,㕘,尖
2065,劣,劣,㕘,劣
2066,光,光,㕘,光
2067,当,當,当,当
2068,早,早,㕘,早
2069,吐,吐,㕘,吐
2070,吓,嚇,吓,嚇
2071,虫,蟲,虫,虫
2072,曲,曲,㕘,曲
2073,团,團,团,団
2074,同,同,㕘,同
